# Auditoría de categorías del 22-08-2026: 1.740 panoramas y 454 títulos de
# taller revisados uno por uno contra el catastro publicado ese día.
# Es el conjunto etiquetado con que se mide el clasificador:
#     python3 scripts/auditar_categorias.py
# Cada línea: id  categoria_correcta  subcategoria  confianza
# confianza=media significa "el auditor no pudo confirmarlo con el título, el
# lugar y la descripción"; esas no cuentan como error si el clasificador
# difiere, solo se listan aparte.
# categoria "descartar" = no es un panorama y no debería publicarse.
3de6cccecf6975a8	charla		media
e80a9f7e54b95a69	musica	tributo	media
320c423574c0a384	teatro	obra	alta
5cc218ef852ead43	fiesta		media
9d8dea664593bb42	fiesta		media
eb58bd8b4c90c035	familia		alta
12621fc7551e5a21	arte		alta
14a567d409e118de	charla		alta
6ad92752701982ce	familia		media
1636ed1fa02181bc	charla		media
4c41561c0b4b2c42	musica	tributo	alta
d01c18a3cbc0c413	musica	tributo	alta
9bda4b2ed968cd26	musica		alta
45c4b0a8926d3a1a	teatro	obra	alta
d031fedddc2485b2	descartar		alta
79cb1b2efd0f91ee	feria		media
86f496067f94f621	charla		alta
7629c55ae3c3f925	descartar		media
988a4d1794e91b33	descartar		alta
f01e6579ac52a65e	arte		media
8aed95dd6fe82684	descartar		media
f1ad4de9a59326fd	arte		alta
62a07742bee7212c	descartar		alta
8702e1c88c66987d	musica	tributo	media
8fc763136e3725ea	otros		media
a9b25f92cee7d638	otros		media
3275a76cb93d9f0d	musica	tributo	media
8a0f0d88340c5f82	musica	tributo	media
d3bfbca486dc3e25	descartar		alta
f9bd5a235fe7ff28	descartar		alta
447726989b258eb4	cine		alta
4d19b8b2f08316d8	feria		alta
4198cf03757661e7	familia		alta
bfe2516e76e437a7	arte		alta
c110fc51f3e79e97	arte		alta
132717b17dae7293	cine		alta
b85e26ec585a1f5c	cine		alta
785f805db8d916c7	musica		media
cff8f2426b703198	teatro	comedia	media
cb55a25541fd9ded	fiesta		alta
449cac4b853b2db2	deporte		alta
f56a9b527a6df7fc	clases		alta
690fd35165bbe2cc	teatro	danza	media
e16197421e7a705f	teatro	danza	media
2b6e406df38bade3	deporte		media
8b99a6d23994785c	deporte		media
b8ca4e86c9e96dd9	deporte		media
d78b503d13eb908c	deporte		media
06fd2e72a90d150d	deporte		media
912da7db0e5dabb7	deporte		media
00943805f7f25261	deporte		media
636d3d802461e1f6	deporte		media
325d6e91115881ec	deporte		media
cc0bc95fecfdd805	charla		media
14091624f06bc4ae	descartar		alta
4263987ee988941f	fiesta		alta
9d9963104b1fe338	fiesta		alta
100e1549fa47ce49	charla		alta
fc96f8985f2a3489	fiesta		alta
3f7315b8069e002e	clases	bienestar	media
145af3058c2a4921	teatro	obra	media
e6260b8fdb1cb365	teatro	comedia	alta
9f5c30abc78f147a	teatro	comedia	alta
e133712d512ce383	feria		alta
4152f999b1a3b8d8	feria		alta
0f62ef0c3b1b28da	otros		alta
8fbe0784b7a3c67f	descartar		alta
bab11497dcbb3dc9	charla		alta
6f63801aedee2b6b	feria		alta
0d62b098e0ca73a2	descartar		alta
08595876ef6113b7	feria		alta
d9afc79706241b46	fiesta	electronica	alta
96c4936b0a6d12d8	fiesta	electronica	alta
735c5c54923fafcd	fiesta	urbano	alta
50677f21c6ce5e88	charla		media
288b93646e636cc8	charla		media
15f3a0618b49a4e6	charla		media
3019232218e76717	charla		media
225c75bc35956862	fiesta	electronica	media
65918a369ec19bca	fiesta	electronica	media
fccac8cd314baf99	fiesta	electronica	media
3859b460f2bbc1be	fiesta	electronica	media
c9fa5579f53c51e1	fiesta	electronica	media
495bafda5199da55	fiesta		media
f98b12d068cd1df6	fiesta		media
44829dd4bc03441b	otros		media
7723d6e3895060e0	fiesta		media
f7991ebb8a11996e	fiesta		media
2e1c109f8a9d4303	fiesta		media
3662866871a4dd26	teatro	danza	media
5f004806239f56b3	teatro		media
798cc43c11c9ae50	teatro	performance	media
65af2ae365348ef8	otros		media
5e6460ac3caaa807	familia		media
c010ffbb4a779ee6	descartar		media
b40cb4cf9946c7bf	descartar		media
3aab19cecf5e910b	musica	urbano	alta
2b2ff2b1e6acdb40	musica	urbano	alta
4b61b85b5cccbf15	musica	urbano	alta
051594a645f3d424	musica	pop	alta
9d7f4e5c730965f1	musica	pop	alta
3215a04bb872afb2	musica		alta
98d2751f868df75a	musica	urbano	alta
081212025e245954	musica	rock	alta
8aab3473d2b792ab	musica	pop	alta
9e4388db2514f2c5	musica	rock	alta
fd97f40cc9425b28	musica	folclor	media
0be059ebd304b388	musica	tributo	alta
f06f520223fee120	musica	tributo	alta
04adefcb1eb612d1	descartar		alta
da5be22e6087cd03	cine		alta
bb5d14c3a696725f	descartar		media
3b2fa96637855f57	cine		alta
